ROTA,origem,destino,distancia_km,distancia_texto
WENCESLAU BRAZ/MG:RIO DE JANEIRO/RJ,WENCESLAU BRAZ/MG,RIO DE JANEIRO/RJ,300.829,301 km
SÃO PAULO/SP:CONTAGEM/MG,SÃO PAULO/SP,CONTAGEM/MG,574.287,574 km
SÃO PAULO/SP:UBERLÂNDIA/MG,SÃO PAULO/SP,UBERLÂNDIA/MG,590.537,591 km
MOGI MIRIM/SP:SÃO PAULO/SP,MOGI MIRIM/SP,SÃO PAULO/SP,153.87,154 km
PORTO FERREIRA/SP:SÃO PAULO/SP,PORTO FERREIRA/SP,SÃO PAULO/SP,226.466,226 km
OSASCO/SP:SÃO PAULO/SP,OSASCO/SP,SÃO PAULO/SP,23.471,"23,5 km"
BELO HORIZONTE/MG:BELO HORIZONTE/MG,BELO HORIZONTE/MG,BELO HORIZONTE/MG,0.0,1 m
PONTE NOVA/MG:BETIM/MG,PONTE NOVA/MG,BETIM/MG,207.805,208 km
PAULÍNIA/SP:SÃO PAULO/SP,PAULÍNIA/SP,SÃO PAULO/SP,122.63,123 km
LEOPOLDINA/MG:BETIM/MG,LEOPOLDINA/MG,BETIM/MG,348.652,349 km
RIBEIRÃO PRETO/SP:SÃO PAULO/SP,RIBEIRÃO PRETO/SP,SÃO PAULO/SP,314.653,315 km
SERTÃOZINHO/SP:SÃO PAULO/SP,SERTÃOZINHO/SP,SÃO PAULO/SP,335.478,335 km
CONSELHEIRO LAFAIETE/MG:RIO DE JANEIRO/RJ,CONSELHEIRO LAFAIETE/MG,RIO DE JANEIRO/RJ,344.267,344 km
PRATA/MG:SÃO PAULO/SP,PRATA/MG,SÃO PAULO/SP,585.627,586 km
FERNANDÓPOLIS/SP:SÃO PAULO/SP,FERNANDÓPOLIS/SP,SÃO PAULO/SP,553.997,554 km
SÃO JOÃO DEL REI/MG:BETIM/MG,SÃO JOÃO DEL REI/MG,BETIM/MG,211.972,212 km
CONTAGEM/MG:IGARAPÉ/MG,CONTAGEM/MG,IGARAPÉ/MG,34.891,"34,9 km"
RIO DE JANEIRO/RJ:RIO DE JANEIRO/RJ,RIO DE JANEIRO/RJ,RIO DE JANEIRO/RJ,0.0,1 m
JAÚ/SP:SÃO PAULO/SP,JAÚ/SP,SÃO PAULO/SP,298.931,299 km
SÃO JOSÉ/SC:MOGI DAS CRUZES/SP,SÃO JOSÉ/SC,MOGI DAS CRUZES/SP,750.209,750 km
SUMARÉ/SP:SÃO PAULO/SP,SUMARÉ/SP,SÃO PAULO/SP,119.227,119 km
VÁRZEA PAULISTA/SP:SÃO PAULO/SP,VÁRZEA PAULISTA/SP,SÃO PAULO/SP,58.904,"58,9 km"
SÃO JOSÉ DO RIO PRETO/SP:SÃO PAULO/SP,SÃO JOSÉ DO RIO PRETO/SP,SÃO PAULO/SP,439.707,440 km
SÃO CARLOS/SP:SÃO PAULO/SP,SÃO CARLOS/SP,SÃO PAULO/SP,234.011,234 km
JUIZ DE FORA/MG:RIO DE JANEIRO/RJ,JUIZ DE FORA/MG,RIO DE JANEIRO/RJ,184.732,185 km
ALVORADA/RS:SÃO PAULO/SP,ALVORADA/RS,SÃO PAULO/SP,1133.76,1.134 km
CONSELHEIRO LAFAIETE/MG:CONSELHEIRO LAFAIETE/MG,CONSELHEIRO LAFAIETE/MG,CONSELHEIRO LAFAIETE/MG,0.0,1 m
INDAIATUBA/SP:SÃO PAULO/SP,INDAIATUBA/SP,SÃO PAULO/SP,103.468,103 km
SÃO PAULO/SP:BIRIGUI/SP,SÃO PAULO/SP,BIRIGUI/SP,511.113,511 km
IGARAPÉ/MG:SÃO JOÃO DEL REI/MG,IGARAPÉ/MG,SÃO JOÃO DEL REI/MG,195.567,196 km
UNAÍ/MG:IGARAPÉ/MG,UNAÍ/MG,IGARAPÉ/MG,623.28,623 km
FORMIGA/MG:RIO DE JANEIRO/RJ,FORMIGA/MG,RIO DE JANEIRO/RJ,546.623,547 km
LEME/SP:SÃO PAULO/SP,LEME/SP,SÃO PAULO/SP,188.748,189 km
AMERICANA/SP:SÃO PAULO/SP,AMERICANA/SP,SÃO PAULO/SP,129.61,130 km
JUATUBA/MG:IGARAPÉ/MG,JUATUBA/MG,IGARAPÉ/MG,31.937,"31,9 km"
BELO HORIZONTE/MG:IGARAPÉ/MG,BELO HORIZONTE/MG,IGARAPÉ/MG,46.199,"46,2 km"
UMUARAMA/PR:SÃO PAULO/SP,UMUARAMA/PR,SÃO PAULO/SP,793.169,793 km
